S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (μS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
168,Assam,East Karbi Anglong,Donka Bey Pz,93.8044,26.0261,2023,7.06,127,0,153,40,0.19,7,1,,110,24,12,18,6,0.56,0.19,0
169,Assam,East Karbi Anglong,Lahorijan,93.6614,25.9069,2023,6.5,103,0,43,23,0.02,12,2,,55,10,7,8,4,4.02,0.49,0.07
170,Assam,East Karbi Anglong,Lakhijan,93.7482,26.0506,2023,6.53,120,0,85,7,0.19,0,1,,65,18,5,7,2,0.03,0.62,0.06
171,Assam,East Karbi Anglong,Manja,93.4408,25.97,2023,6.93,210,0,55,46,0.19,11,3,,40,10,4,30,7,0.1,0,0
172,Assam,East Karbi Anglong,Mohendijua,93.411,25.9944,2023,6.76,207,0,24,30,0.19,1,13,,40,12,2,14,3,0.1,0.02,0
173,Assam,East Karbi Anglong,Phuloni,93.1367,26.1708,2023,7.16,739,0,464,40,0.19,13,16,,320,90,23,64,10,0.79,1.04,0.01
174,Assam,East Karbi Anglong,Saphapani,93.7953,26.1964,2023,6.74,372,0,49,27,0.19,2,3,,50,12,5,10,3,0.66,0.53,0.26
175,Assam,East Karbi Anglong,Silanijan,93.8722,26.3217,2023,6.9,110,0,43,36,0.19,11,5,,40,10,4,23,9,1.63,0.36,0.06
176,Assam,East Karbi Anglong,Srirampur Forest,93.0201,26.2181,2023,7.54,388,0,293,13,0.06,3,1,,150,48,7,44,3,1.03,0.05,0.16
177,Assam,East Karbi Anglong,Swarghati,93.1047,26.2042,2023,7.73,404,0,250,20,0.19,13,3,,170,42,16,34,4,0.1,2.9,0.01
178,Assam,Goalpara,Agia,90.5641,26.0827,2023,6.89,41,0,24,10,0.03,6,0,,25,4,4,5,1,0.2,0.05,0.01
179,Assam,Goalpara,Baida,90.4164,26.0258,2023,6.83,37,0,31,7,0.02,5,1,,20,4,2,5,1,0.6,0.67,0
180,Assam,Goalpara,Dudhnoi,90.7817,25.9825,2023,6.5,373,0,67,63,0.04,33,1,,110,30,8,29,14,1.61,0.58,0.01
181,Assam,Goalpara,Salpara,90.7008,26.0128,2023,6.99,64,0,647,17,0.02,5,0,,475,6,112,4,1,0.89,0.17,0.04
182,Assam,Goalpara,Sarapara,90.9525,25.9714,2023,7.2,266,0,201,10,0.48,5,5,,105,22,12,25,2,5.55,9.78,0.08
183,Assam,Golaghat,2 No. Balijan,93.8365,26.4811,2023,6.9,204,0,122,10,0.19,12,5,,125,34,10,4,3,0.98,0.49,0.01
184,Assam,Golaghat,Bokaghat,93.6278,26.6372,2023,6.63,165,0,134,20,0.04,14,4,,110,28,10,8,7,0.16,0.18,0
185,Assam,Golaghat,Dakkhin Hengra,94.0614,26.5978,2023,7.31,262,0,177,36,0.19,5,1,,140,40,10,16,2,0.99,0.56,0.02
186,Assam,Golaghat,Garampani,93.8806,26.3925,2023,6.73,298,0,43,33,0.19,31,38,,90,20,10,21,15,0.19,0.26,0.01
187,Assam,Golaghat,Haldibari Burhi Aai,93.3258,26.5872,2023,6.99,106,0,55,17,0.02,10,6,,40,10,4,12,4,1.92,0.59,2.69
188,Assam,Golaghat,Upper Merapani,94.1364,26.52,2023,6.5,226,0,128,7,0.19,5,1,,100,26,8,17,2,0.01,1.3,0.01
189,Assam,Hailakandi,Katlicherra New,92.6411,24.4619,2023,7.37,375,0,171,30,0.41,37,5,,170,56,7,28,6,0.75,0.08,0.1
190,Assam,Hailakandi,Burakhai,92.6914,24.6292,2023,7.01,198,0,147,10,0.3,3,4,,120,30,11,6,2,5.99,1.81,0.1
191,Assam,Hailakandi,Lala,92.5619,24.5978,2023,6.46,141,0,140,7,0.15,3,10,,50,8,7,34,3,0.39,0.08,0.01
192,Assam,Hojai,Lanka,92.9508,25.9214,2023,6.95,786,0,415,116,0.17,6,0,,325,98,19,62,1,0.36,1,2.01
193,Assam,Hojai,Zebra Khua,92.8086,26.1386,2023,7.55,225,0,147,20,0.17,5,7,,75,22,5,27,4,0.46,0.43,0
194,Assam,Jorhat,Kokilamukh,94.1678,26.8194,2023,6.74,259,0,201,23,0.05,11,4,,170,46,13,13,4,1.19,0.71,0.19
195,Assam,Jorhat,Kunwari Pukhuri,94.2072,26.6983,2023,7.03,533,0,220,40,0.31,65,14,,205,40,25,24,67,1.11,0.07,0.27
196,Assam,Kamrup,Boko,91.245,25.9833,2023,7.1,145,0,98,10,0.14,5,2,,70,22,4,6,3,0.09,0.09,0.01
197,Assam,Kamrup,Chhaygaon,91.3597,26.0411,2023,7.32,330,0,214,13,0.12,13,4,,180,62,6,9,3,0.46,0.03,1.04
198,Assam,Kamrup,Rani Ii,91.6061,26.0651,2023,6.52,110,0,18,20,0.04,9,0,,35,10,2,6,9,1.08,0.08,0.03
199,Assam,Kamrup,Abhaypur,91.5539,26.2542,2023,7.27,489,0,501,126,0.19,23,13,,450,80,61,81,20,2.06,0.27,1.94
200,Assam,Kamrup,Dhobartari,91.6904,26.2479,2023,7.26,260,0,67,46,0.41,51,11,,145,48,6,32,8,0.47,0.96,0.01
201,Assam,Kamrup,Kachkatc,91.9643,26.1175,2023,7.34,345,0,110,73,0.04,51,3,,105,26,10,36,21,1.2,2.9,0.18
202,Assam,Kamrup,Khetri Ii,92.0822,26.1135,2023,7.34,306,0,79,17,0.04,33,1,,90,14,13,7,4,0.6,0.29,0.08
203,Assam,Kamrup,Rangia,91.6239,26.4375,2023,8.32,654,9,501,80,0.11,36,3,,370,90,35,52,77,0.73,1.88,0.82
204,Assam,Kamrup,Sualkuchi,91.5708,26.1672,2023,7.24,518,0,586,109,0.19,28,33,,460,92,56,76,52,0.67,7.81,26.99
205,Assam,Kamrup,Topatoli N/Bamfo,92.1383,26.1033,2023,6.83,248,0,159,13,0.09,18,2,,145,34,15,5,2,0.1,0.07,0.03
206,Assam,Karimganj,Badarpur,92.5972,24.8711,2023,7.24,156,0,18,13,0.06,35,12,,50,12,5,13,7,0.94,0.66,0.05
207,Assam,Karimganj,Sarkaribari,92.4122,24.565,2023,6.71,180,0,73,20,0.14,11,18,,85,24,6,8,5,2.67,0.86,0.13
208,Assam,Karimganj,Hatikira,92.3181,24.4611,2023,7.4,173,0,79,13,0.33,31,2,,75,20,6,10,4,0.57,0.13,0.1
209,Assam,Karimganj,Kalinagar,92.4836,24.5842,2023,7.61,305,0,183,17,1,16,10,,125,36,8,31,5,2.02,0.05,0.08
210,Assam,Karimganj,Kayasthagram,92.4461,24.7206,2023,6.58,218,0,159,10,0.2,19,4,,60,12,7,36,3,0.39,0.54,1.01
211,Assam,Karimganj,Karimganj,92.3639,24.8647,2023,7.48,260,0,159,20,0.42,25,9,,140,46,6,10,7,1.07,0.23,0.08
212,Assam,Karimganj,Dhaulia,92.3622,24.6239,2023,7.07,216,0,128,20,0.47,7,3,,100,26,8,13,3,0.79,0.01,0.13
213,Assam,Karimganj,Patharkandi,92.3206,24.5944,2023,6.6,186,0,122,17,0.47,1,17,,80,40,5,21,3,16.98,0.09,0.52
214,Assam,Karimganj,Dengarbond,92.5481,24.9183,2023,6.74,224,0,92,27,0.15,26,11,,90,26,6,17,5,0.78,0.66,0.02
215,Assam,Karimganj,Mahakul,92.8419,25.4003,2023,7.03,169,0,104,17,0.31,0,1,,55,6,10,16,4,0.47,0.88,0.06
216,Assam,Karimganj,Rangamati,92.4956,24.4817,2023,6.74,132,0,24,20,0.03,6,10,,35,4,6,15,3,0.86,1.94,0.07
217,Assam,Morigaon,Baghara,92.2758,26.2267,2023,7.29,3590,0,269,928,0.11,36,5,,230,56,22,474,28,0.7,1.98,0.32
218,Assam,Morigaon,Jagiroad,92.1947,26.12,2023,6.45,485,0,189,50,0.1,71,7,,140,40,10,46,17,0.25,9.53,0.01
219,Assam,Morigaon,Silsang Namghar,92.3508,26.1217,2023,7.23,157,0,92,23,0.05,25,1,,100,36,2,5,10,0.25,0.06,0.67
220,Assam,Nagaon,Bamuni,92.8011,26.3,2023,7.19,303,0,128,30,0.11,17,2,,115,30,10,24,6,0.28,0.34,0.29
221,Assam,Nagaon,Bichamari,92.46,26.4014,2023,6.89,522,0,214,50,0.14,26,35,,220,46,25,33,4,0.07,0.45,0.49
222,Assam,Nagaon,Doboka,92.8881,26.1319,2023,6.94,29,0,85,10,0.19,0,1,,45,10,5,18,1,0.8,0,0.1
223,Assam,Nagaon,Haldiati Sub Bt,92.9433,26.1725,2023,6.82,272,0,61,56,0.06,7,1,,75,14,10,34,7,0.13,0,0
224,Assam,Nagaon,Kathiatoli,92.736,26.1883,2023,7.07,657,0,256,66,0.1,48,3,,250,56,27,61,25,0.53,0.77,0.67
225,Assam,Nagaon,Naderigaon/ Basin Dicate,92.6569,26.1592,2023,7.16,1302,0,781,119,0.17,32,11,,370,82,40,180,166,6.98,3.01,0.84
226,Assam,Nagaon,Phulaguri,93.0853,26.5753,2023,7.47,356,0,256,17,0.13,9,1,,180,54,11,28,7,0.57,0.07,0.09
227,Assam,Nalbari,Athiabari,91.2767,26.5985,2023,7.78,129,0,67,23,0.05,0,6,,75,10,12,8,4,0.76,1,0.32
228,Assam,Nalbari,Daulasal,91.2293,26.2695,2023,7.86,412,0,244,30,0.12,21,4,,210,68,10,12,17,0.1,2.54,0.9
229,Assam,Nalbari,Tihu,91.2692,26.4751,2023,8.14,550,0,366,43,0.21,15,8,,265,82,15,44,11,0.8,0.98,0
230,Assam,Sonitpur,Barchola,92.3803,26.6053,2023,7.62,128,0,49,23,0.07,12,17,,55,10,7,10,6,0.68,1.61,0.36
231,Assam,Sonitpur,Chaduar,92.7802,26.8546,2023,7.91,268,0,116,43,0.08,17,5,,115,30,10,23,0,1.04,0.1,0.48
232,Assam,Sonitpur,Dekhiajuli,92.4708,26.7031,2023,8.1,194,0,104,36,0.13,17,4,,80,30,1,19,8,1.71,0.53,0.02
233,Assam,Sonitpur,Garumari,92.7716,26.5713,2023,7.01,173,0,92,17,0.08,16,1,,85,24,6,8,7,0.13,0.05,0.01
234,Assam,Sonitpur,Tupia,92.9111,26.799,2023,7.62,247,0,147,20,0.11,19,10,,130,44,5,4,11,1.2,2.07,0.76
235,Assam,Tezpur,Tezpur,92.3802,26.6054,2023,7.51,452,0,214,50,0.07,15,2,,205,54,17,32,10,0.2,1.96,0.09
236,Assam,Tinsukia,Panitola,95.2545,27.4954,2023,7.42,207,0,134,17,0.1,5,5,,105,36,4,10,5,0.06,0.07,0.01
237,Assam,Tinsukia,Tinsukia,95.3519,27.4849,2023,6.55,122,0,79,13,0.18,16,0,,95,20,11,4,6,0.05,0.05,0.04
238,Assam,Tinsukia,Kumsang Selenguri,95.6331,27.6197,2023,7.21,103,0,55,10,0.15,12,1,,60,10,8,4,3,0.08,0.61,0.09
239,Assam,Tinsukia,Borgolai,95.713,27.2775,2023,7.61,101,0,61,7,0.17,13,0,,65,12,8,4,2,3.07,0.97,0.01
240,Assam,Tinsukia,Digboi,95.6154,27.3803,2023,7.3,103,0,55,7,0.16,13,1,,60,10,8,4,3,0.08,0.09,0.1
241,Assam,Tinsukia,Jagun,95.9036,27.383,2023,7.44,102,0,61,7,0.17,13,1,,70,10,11,4,3,0.04,0.61,0.07
242,Assam,Tinsukia,Lekhapani,95.8181,27.3197,2023,7.61,200,0,128,13,0.05,5,6,,120,42,4,10,3,0.15,0.08,0.06
243,Assam,Tinsukia,Tirap Gate,95.8483,27.3331,2023,6.84,109,0,67,10,0.2,12,0,,65,16,6,4,3,0.98,0.46,0.04
244,Assam,Udalguri,Hatitopagaon,92.3095,26.8517,2023,7.79,150,0,79,20,0.12,11,12,,65,16,6,19,5,0.59,0.59,0.08
245,Assam,Udalguri,Kachabil,91.9128,26.7517,2023,7.83,95,0,43,13,0.05,18,2,,65,24,1,4,3,1.79,0.61,0.03
246,Assam,Udalguri,Rowta Chariali,92.2056,26.7117,2023,8.37,630,21,256,63,0.24,42,11,,220,72,10,56,23,0.89,0.25,1.66
247,Assam,Udalguri,Token Katta,91.9145,26.6349,2023,8.23,215,0,110,20,0.11,34,9,,135,48,4,3,6,5.39,0.2,0.05
248,Assam,West Karbi Anglong,Boithalangsu,92.5978,25.9728,2023,6.59,175,0,73,17,0.06,8,0,,60,10,8,11,1,0.32,0.31,0.01
249,Assam,West Karbi Anglong,Donkamokam,92.71,25.9328,2023,6.45,132,0,55,23,0.04,2,0,,25,8,1,18,2,0.61,1.31,0.15
250,Assam,West Karbi Anglong,Kalonga,92.7678,25.8617,2023,6.54,90,0,37,23,0.01,3,3,,35,6,5,15,6,0.09,0.3,0.16
251,Assam,West Karbi Anglong,Kheronighat,92.8842,25.8475,2023,7.36,339,0,85,53,0.03,27,24,,90,28,5,32,11,1.14,0.34,0.19
252,Assam,Biswanath,Borgang New (Koherbari),93.2946,26.8346,2023,7.77,465,0,232,30,0.05,34,2,,225,56,21,13,40,0.78,0.67,0.01
253,Assam,Biswanath,Behali,93.3578,26.8323,2023,7.75,457,0,189,36,0.04,18,3,,220,62,16,13,0,0.7,0.1,0.09
254,Assam,Biswanath,Biswanath Chariali,93.1518,26.7253,2023,7.75,465,0,214,36,0.05,14,2,,225,58,19,13,25,0.96,0.76,0.15
255,Assam,Biswanath,Gohpur New,93.6099,26.88,2023,7.82,471,0,214,46,0.05,19,3,,225,58,19,13,40,0.9,0.75,0.02
256,Assam,Biswanath,Helem New,93.4658,26.85,2023,7.99,458,0,232,36,0.06,31,2,,235,56,23,14,41,0.09,0.1,0.09
257,Assam,Dhemaji,Bordoloni,94.4272,27.4134,2023,7.54,179,0,153,23,0.05,4,0,,170,32,22,11,4,0.36,0.68,0
258,Assam,Dhemaji,Dhemaji,94.5878,27.5117,2023,7.88,182,0,165,23,0.08,1,0,,165,32,21,11,3,0.19,0.25,0.02
259,Assam,Dhemaji,Santipur,94.505,27.5553,2023,7.59,262,0,159,20,0.04,4,0,,170,44,15,11,3,0.76,0.82,0.1
260,Assam,Dhemaji,Bhagaban Charali,94.8566,27.7098,2023,7.25,274,0,171,20,0.06,14,0,,145,38,12,12,3,1.4,5,0.21
261,Assam,Dhemaji,Bijoypur,95.1668,27.7804,2023,7.28,274,0,177,23,0.06,16,0,,160,34,18,12,4,0.06,0.06,0.02
262,Assam,Dhemaji,Jonai Murkongselek,95.1467,27.8367,2023,7.55,250,0,183,23,0.04,4,0,,175,30,24,11,3,0.67,0.81,0
263,Assam,Dhemaji,Telem,95.0556,27.7125,2023,7.84,202,0,165,13,0.05,2,5,,120,42,4,10,3,0.98,0.16,0.1
264,Assam,Dhemaji,Siripani,94.65,27.5828,2023,7.7,267,0,165,20,0.07,2,0,,165,26,24,11,3,0.81,0.56,0.01
265,Assam,Dhemaji,Sisibargaon,94.7222,27.5417,2023,7.72,200,0,134,10,0.05,1,5,,120,42,4,10,3,0.97,0.01,0
266,Assam,Lakhimpur,Bihpuria,93.9083,27.0333,2023,7.93,203,0,165,10,0.04,2,4,,120,40,5,10,3,0.18,3.4,0.03
267,Assam,Lakhimpur,Boginadi Balijan New,94.189,27.3836,2023,7.74,202,0,159,10,0.03,2,5,,125,42,5,10,3,0.57,0.23,0.01
268,Assam,Lakhimpur,Borbil Tariyani,94.1746,27.4029,2023,7.27,112,0,61,17,0.11,6,1,,75,12,11,3,2,0.59,0.01,0
269,Assam,Lakhimpur,Kadam,94.15,27.3,2023,7.71,384,0,134,40,0.05,15,26,,205,44,23,16,6,0.73,0.09,0.1
270,Assam,Lakhimpur,Moridirgha,94.1356,27.3235,2023,7.64,378,0,159,40,0.05,15,26,,195,50,17,28,6,0.05,0.1,0.01
271,Assam,Lakhimpur,Pathalipam,94.23,27.4477,2023,8.12,466,0,226,43,0.1,22,2,,205,58,15,13,41,3.81,0.02,0.01
272,Assam,Lakhimpur,Pathalipam Ii,94.21,27.44,2023,7.8,436,0,244,30,0.05,10,2,,230,54,23,13,40,2.03,3.03,0.01
273,Assam,Lakhimpur,Harmoti,93.8539,27.1229,2023,7.57,383,0,153,46,0.05,5,26,,175,46,14,27,6,0.58,0.82,0.08
274,Assam,Lakhimpur,Dejoo,94.0253,27.2716,2023,7.65,204,0,140,7,0.05,2,5,,125,44,4,10,3,0.21,0.03,0.01
275,Assam,Lakhimpur,Koilamari 6 No Line,94.0425,27.3159,2023,7.66,376,0,147,43,0.04,9,26,,190,46,18,27,6,0.09,0.45,0.01
276,Assam,Lakhimpur,N. Lakhipur,94.1028,27.2224,2023,7.68,380,0,159,40,0.05,13,26,,185,48,16,27,6,0.53,0.08,0.01
277,Assam,Lakhimpur,Panigaon,94.1107,27.1374,2023,7.83,464,0,214,50,0.08,6,2,,215,60,16,13,4,0.4,1.11,0.06
278,Assam,Lakhimpur,Dolanghat Chara,93.9984,27.1633,2023,7.62,368,0,147,40,0.04,3,26,,170,44,15,27,6,1.03,0.06,0.03
279,Assam,Lakhimpur,Bhogpur Charali,93.8328,27.0466,2023,7.72,200,0,153,13,0.03,2,5,,120,40,5,10,3,0.63,0.06,0.01
280,Assam,Lakhimpur,Narayanpur,93.8549,26.9535,2023,7.79,451,0,220,36,0.05,10,2,,215,54,19,13,40,0.01,0.04,0.01
281,Bihar,Araria,Araria,87.4609,26.1432,2023,7.91,522,0,195,46,0.09,13,29,0,200,36,27,24,6,-,-,8.53
282,Bihar,Araria,Paikapar,87.1504,26.0653,2023,7.63,596,0,201,71,0.7,17,18,0.11,260,60,27,16,1,-,-,9.68
283,Bihar,Araria,Bathnaha 1,87.1497,26.0693,2023,7.84,199,0,85,11,0.13,9,6,0,80,14,11,5,5,-,-,0.21
284,Bihar,Araria,Haripur,87.2315,26.2315,2023,7.54,350,0,159,18,0.13,9,9,0,155,36,16,9,1,-,-,6.54
285,Bihar,Araria,Matiyari,87.251,26.3206,2023,7.89,826,0,262,96,0.85,38,27,0.19,270,58,30,53,19,-,-,0
286,Bihar,Araria,Jokihat,87.6559,26.1612,2023,7.91,1004,0,403,89,0.29,39,5,0,320,64,39,71,24,-,-,0
287,Bihar,Araria,Palasi,87.224,26.3228,2023,7.92,259,0,92,28,0.34,11,1,0,125,40,6,1,2,-,-,3.05
288,Bihar,Araria,Raniganj,87.2321,26.0949,2023,7.72,559,0,214,46,0.12,17,28,0.15,240,62,21,15,5,-,-,0.62
289,Bihar,Araria,Sikti,87.5479,26.4064,2023,7.81,389,0,140,46,0.32,13,1,0,135,36,11,25,2,-,-,0.21
290,Bihar,Arwal,Arwal,84.6668,25.2495,2023,7.65,1031,0,329,121,0.65,43,32,0.19,370,90,35,55,22,-,-,0
291,Bihar,Arwal,Dirpal Bigha,84.7032,25.2943,2023,7.81,488,0,183,28,0.69,12,50,0.13,200,50,18,19,1,-,-,0
292,Bihar,Arwal,Imamganj,84.7489,25.2152,2023,7.93,678,0,287,43,0.61,30,11,0.21,280,64,29,22,10,-,-,0.91
293,Bihar,Arwal,Madhubani,84.6045,25.1904,2023,7.97,266,0,104,21,0.43,15,0,0,125,30,12,4,1,-,-,9.81
294,Bihar,Arwal,Kaler,84.5002,25.1172,2023,7.78,603,0,232,53,0.5,33,4,0.15,260,88,10,13,9,-,-,0
295,Bihar,Arwal,Bairbigha,84.7151,25.1535,2023,7.82,657,0,262,53,0.36,28,13,0,220,50,23,47,3,-,-,5.61
296,Bihar,Arwal,Kinjer,84.8291,25.2168,2023,7.89,405,0,183,28,0.39,10,5,0,175,60,6,11,1,-,-,12.65
297,Bihar,Arwal,Kurtha,84.8089,25.1247,2023,7.96,739,0,348,43,0.54,18,3,0.23,265,68,23,47,4,-,-,0
298,Bihar,Arwal,Jhunathi,84.8853,25.2114,2023,8.11,648,0,281,43,0.6,29,0,0.14,250,58,26,34,1,-,-,6.13
299,Bihar,Arwal,Bansi Surajpur,84.7324,25.1146,2023,8.03,1616,0,549,206,0.74,64,3,0,560,40,112,109,8,-,-,11.54
300,Bihar,Aurangabad,Aurangabad,84.3845,24.7462,2023,7.85,2614,0,848,366,0.75,67,30,0,880,138,130,175,40,-,-,26.71
301,Bihar,Aurangabad,Parnawa,84.3445,24.8407,2023,7.84,586,0,220,50,0.72,24,20,0.11,245,72,16,21,1,-,-,6.58
302,Bihar,Aurangabad,Barun,84.2128,24.8685,2023,8.05,485,0,195,39,0.68,22,6,0,205,18,39,16,1,-,-,4.61
303,Bihar,Aurangabad,Narari Kala,84.1491,24.7877,2023,7.88,683,0,256,64,0.66,29,9,0,240,88,5,47,2,-,-,0
304,Bihar,Aurangabad,Daudnagar,84.4049,25.0346,2023,8.01,1635,0,458,263,0.63,59,15,0.17,515,80,77,120,31,-,-,10.5
305,Bihar,Aurangabad,Deo1,84.4401,24.6687,2023,7.78,1185,0,512,82,0.82,44,14,0.11,325,32,60,122,1,-,-,9.58
306,Bihar,Aurangabad,Deohara Goh,84.5793,25.0045,2023,7.98,805,0,305,67,0.38,44,16,0,250,62,23,68,3,-,-,12.23
307,Bihar,Aurangabad,Dhobi Tola Goh,84.6477,24.984,2023,7.93,1906,0,531,280,0.29,91,38,0,510,120,51,181,36,-,-,0
308,Bihar,Aurangabad,Etwan,84.5447,25.044,2023,8.1,553,0,232,43,0.46,20,7,0.25,190,50,16,35,7,-,-,13.57
309,Bihar,Aurangabad,Kutumba,84.2209,24.6128,2023,7.81,1395,0,488,153,0.74,56,31,0,360,48,58,139,28,-,-,2.55
310,Bihar,Aurangabad,Mahauli,84.1626,24.6146,2023,7.95,1509,0,506,185,0.8,69,9,0,435,98,46,131,26,-,-,16.53
311,Bihar,Aurangabad,Nabinagar,84.1139,24.6399,2023,8.03,659,0,311,28,0.8,25,10,0.15,185,34,24,64,2,-,-,8.19
312,Bihar,Aurangabad,Obra,84.3724,24.8894,2023,7.92,821,0,336,64,0.77,26,22,0.24,290,86,18,52,4,-,-,3.23
313,Bihar,Aurangabad,Rafiganj,84.6318,24.8151,2023,7.76,1133,0,470,103,0.55,15,20,0,315,48,47,109,13,-,-,18.23
314,Bihar,Aurangabad,Tineri Morh,84.6429,24.871,2023,7.68,607,0,287,32,0.57,21,1,0.19,205,48,21,45,0,-,-,0
315,Bihar,Banka,Amarpur,86.903,25.0387,2023,7.98,825,0,275,107,0.18,22,14,0.05,225,46,27,78,15,-,-,3.61
316,Bihar,Banka,English Morh,86.9057,24.9959,2023,7.83,705,0,244,71,0.14,28,30,0,210,50,21,57,12,-,-,2.65
317,Bihar,Banka,Rampur,86.8448,25.0055,2023,7.99,1312,0,378,170,0.13,86,18,0.08,470,100,53,76,18,-,-,0
318,Bihar,Banka,Banka,86.9234,24.8823,2023,7.69,662,0,183,114,0.25,12,12,0.05,190,36,24,55,15,-,-,2.05
319,Bihar,Banka,Chandan,86.665,24.6171,2023,7.91,438,0,153,53,0.73,12,4,0,170,42,16,23,1,-,-,0.98
320,Bihar,Banka,Baunsi,87.0239,24.8013,2023,7.78,2042,0,641,231,1.18,136,34,0.22,500,128,44,236,4,-,-,0.43
321,Bihar,Banka,Panjwara,87.0972,24.853,2023,8.03,576,0,153,71,0.4,38,30,0,175,40,18,46,9,-,-,0
322,Bihar,Banka,Tinmurty,86.6018,24.9179,2023,8.03,718,0,244,99,0.12,13,8,0,190,40,22,73,7,-,-,0
323,Bihar,Banka,Katuria,86.7223,24.7457,2023,7.96,1133,0,305,160,0.39,60,36,0.09,355,90,32,83,23,-,-,1.23
324,Bihar,Banka,Kharharia,86.9327,25.1324,2023,7.85,530,0,183,64,1.08,19,0,0,190,28,29,33,1,-,-,0
325,Bihar,Banka,Sambhuganj,86.7333,25.0806,2023,7.94,904,0,305,124,0.61,16,9,0,230,64,17,55,81,-,-,0.54
326,Bihar,Banka,Mirzapur,86.7606,25.0806,2023,7.92,832,0,214,142,1.63,29,5,0,155,30,19,119,4,-,-,0
327,Bihar,Begusarai,Bagrash,86.2611,25.559,2023,7.83,828,0,336,53,0.47,53,11,0.15,350,80,36,22,10,-,-,2.46
328,Bihar,Begusarai,Bakhri Salauna,86.261,25.6001,2023,7.61,1192,0,458,85,0.71,75,25,0,475,106,51,41,26,-,-,4.98
329,Bihar,Begusarai,Peernagar,86.2,25.5769,2023,7.95,1617,0,555,149,0.33,128,8,0,625,126,75,70,25,-,-,0
330,Bihar,Begusarai,Badi Balia,86.2755,25.4191,2023,7.74,953,0,421,50,0.59,57,3,0,395,56,62,31,10,-,-,1.3
331,Bihar,Begusarai,Bariarpur,86.263,25.399,2023,7.95,1336,0,543,78,0.35,85,28,0,550,58,98,41,23,-,-,0
332,Bihar,Begusarai,Laxminia  *,86.3151,25.4184,2023,7.82,598,0,336,7,0.39,11,0,0,290,46,43,3,3,-,-,0.66
333,Bihar,Begusarai,Parihara,86.2738,25.536,2023,8.18,2165,0,647,295,0.68,98,38,0,700,156,75,154,39,-,-,0
334,Bihar,Begusarai,Pokharia,86.2648,25.4186,2023,7.63,809,0,366,50,0.26,32,4,0.11,355,80,38,20,4,-,-,0
335,Bihar,Begusarai,Rahatpur,86.2525,25.3857,2023,7.78,792,0,372,32,0.55,41,1,0,355,64,47,16,6,-,-,2.95
336,Bihar,Begusarai,Choti Balia,86.3043,25.4221,2023,7.78,692,0,360,18,0.41,19,4,0,330,62,43,3,8,-,-,1.52
337,Bihar,Begusarai,Barun ‘0’ Mile,86.0272,25.4476,2023,7.74,949,0,445,46,0.65,39,1,0,440,84,56,12,8,-,-,0
338,Bihar,Begusarai,Barieghu,86.1422,25.3999,2023,8.02,1084,0,488,64,0.46,26,32,0,435,98,46,41,13,-,-,9.51
339,Bihar,Begusarai,Begusarai Fc/Ib,86.1371,25.4299,2023,8.11,882,0,366,60,0.85,40,18,0,345,72,40,41,5,-,-,0
340,Bihar,Begusarai,Haridia,86.1409,25.4539,2023,7.85,1155,0,366,128,0.49,91,5,0.13,470,64,75,40,15,-,-,2.65
341,Bihar,Begusarai,Harpur,86.0769,25.4388,2023,7.93,769,0,384,25,0.48,29,0,0,355,98,27,12,3,-,-,20.63
342,Bihar,Begusarai,Kaithma,86.1482,25.3909,2023,8.14,758,0,421,14,0.94,13,0,0,345,58,49,10,8,-,-,1.63
343,Bihar,Begusarai,Lakho,86.1866,25.4128,2023,7.73,691,0,354,21,0.78,19,7,0,280,40,44,29,1,-,-,0.59
344,Bihar,Begusarai,Mohanpur Usrai,86.1287,25.521,2023,7.73,717,0,403,11,0.75,11,3,0,325,58,44,14,2,-,-,0
345,Bihar,Begusarai,Simri,86.2222,25.6131,2023,7.89,1041,0,439,57,0.44,77,1,0,425,92,47,35,14,-,-,8.61
346,Bihar,Begusarai,Cheriya Bariyarpur,86.0906,25.5853,2023,7.81,1994,0,616,259,0.88,99,29,0,685,190,51,126,29,-,-,3.25
347,Bihar,Begusarai,Gopalpur,86.0225,25.6315,2023,7.91,1055,0,409,64,0.36,95,2,0.08,455,92,55,27,13,-,-,0
348,Bihar,Begusarai,Kumbhidera,86.06,25.6524,2023,7.66,1987,0,506,348,0.42,75,15,0,705,150,80,117,25,-,-,0
349,Bihar,Begusarai,Manjaul*,86.1233,25.5653,2023,7.95,1640,0,482,167,1.02,157,28,0,605,134,66,87,21,-,-,19.65
350,Bihar,Begusarai,Aghara,86.0358,25.6175,2023,7.65,1051,0,323,121,0.05,86,3,0,360,60,51,70,8,-,-,0.32
351,Bihar,Begusarai,Kumarshan,86.2008,25.6308,2023,7.61,1148,0,439,78,0.5,92,10,0.16,505,102,61,31,0,-,-,0
352,Bihar,Begusarai,Dariarpur,86.2265,25.3646,2023,7.65,831,0,305,64,0.32,70,1,0,380,56,58,14,5,-,-,0
353,Bihar,Begusarai,Matihani,86.1638,25.3682,2023,7.88,950,0,348,67,0.41,90,2,0,405,112,30,25,11,-,-,0
